"time"	"CO"	"PV"
0.0	2.0	11.89
30.0	2.0	11.89
60.0	2.0	11.89
90.0	2.0	11.89
120.0	2.0	11.88
150.0	2.0	11.88
180.0	2.0	11.88
210.0	2.0	11.88
240.0	2.0	11.88
270.0	2.0	11.87
300.0	2.0	11.87
330.0	2.0	11.87
360.0	2.0	11.87
390.0	2.0	11.87
420.0	2.0	11.87
450.0	2.0	11.87
480.0	2.0	11.87
510.0	2.0	11.87
540.0	2.0	11.87
570.0	2.0	11.87
600.0	2.0	11.87
630.0	2.0	11.87
660.0	2.0	11.87
690.0	2.0	11.87
720.0	2.0	11.87
750.0	2.0	11.87
780.0	2.0	11.87
810.0	2.0	11.87
840.0	2.0	11.86
870.0	0.0	11.86
900.0	0.0	11.86
930.0	0.0	11.86
960.0	0.0	11.87
990.0	0.0	11.86
1020.0	0.0	11.86
1050.0	0.0	11.86
1080.0	0.0	11.86
1110.0	0.0	11.86
1140.0	0.0	11.86
1170.0	0.0	11.87
1200.0	0.0	11.86
1230.0	0.0	11.87
1260.0	0.0	11.87
1290.0	0.0	11.87
1320.0	0.0	11.87
1350.0	0.0	11.87
1380.0	0.0	11.87
1410.0	0.0	11.87
1440.0	0.0	11.87
1470.0	0.0	11.87
1500.0	0.0	11.87
1530.0	0.0	11.87
1560.0	0.0	11.87
1590.0	0.0	11.87
1620.0	0.0	11.87
1650.0	0.0	11.87
1680.0	0.0	11.87
1710.0	0.0	11.87
1740.0	0.0	11.87
1770.0	0.0	11.88
1800.0	0.0	11.87
1830.0	0.0	11.88
1860.0	0.0	11.88
1890.0	0.0	11.88
1920.0	0.0	11.88
1950.0	0.0	11.88
1980.0	0.0	11.88
2010.0	0.0	11.88
2040.0	0.0	11.89
2070.0	0.0	11.89
2100.0	0.0	11.89
2130.0	0.0	11.89
2160.0	0.0	11.89
2190.0	0.0	11.89
2220.0	0.0	11.89
2250.0	0.0	11.89
2280.0	0.0	11.89
2310.0	0.0	11.89
2340.0	0.0	11.89
2370.0	0.0	11.89
2400.0	0.0	11.89
2430.0	0.0	11.89
2460.0	0.0	11.89
2490.0	0.0	11.9
2520.0	0.0	11.9
2550.0	0.0	11.9
2580.0	0.0	11.9
2610.0	0.0	11.9
2640.0	0.0	11.9
2670.0	0.0	11.9
2700.0	0.0	11.9
2730.0	0.0	11.9
2760.0	0.0	11.9
2790.0	0.0	11.9
2820.0	0.0	11.9
2850.0	0.0	11.9
2880.0	0.0	11.9
2910.0	0.0	11.9
2940.0	0.0	11.9
2970.0	0.0	11.91
3000.0	0.0	11.91
3030.0	0.0	11.91
3060.0	0.0	11.91
3090.0	0.0	11.91
3120.0	0.0	11.91
3150.0	0.0	11.91
3180.0	0.0	11.91
3210.0	0.0	11.91
3240.0	0.0	11.91
3270.0	0.0	11.91
3300.0	0.0	11.91
3330.0	0.0	11.92
3360.0	0.0	11.92
3390.0	0.0	11.92
3420.0	0.0	11.92
3450.0	0.0	11.93
3480.0	0.0	11.93
3510.0	0.0	11.93
3540.0	0.0	11.93
3570.0	0.0	11.93
3600.0	0.0	11.93
3630.0	0.0	11.93
3660.0	0.0	11.93
3690.0	0.0	11.93
3720.0	0.0	11.93
3750.0	0.0	11.93
3780.0	0.0	11.93
3810.0	0.0	11.94
3840.0	0.0	11.94
3870.0	0.0	11.94
3900.0	0.0	11.94
3930.0	0.0	11.94
3960.0	0.0	11.94
3990.0	0.0	11.94
4020.0	0.0	11.94
4050.0	0.0	11.94
4080.0	0.0	11.94
4110.0	0.0	11.94
4140.0	0.0	11.94
4170.0	0.0	11.94
4200.0	0.0	11.94
4230.0	0.0	11.94
4260.0	0.0	11.95
4290.0	0.0	11.95
4320.0	0.0	11.95
4350.0	0.0	11.95
4380.0	0.0	11.95
4410.0	0.0	11.95
4440.0	0.0	11.95
4470.0	0.0	11.95
4500.0	0.0	11.95
4530.0	0.0	11.95
4560.0	0.0	11.95
4590.0	0.0	11.95
4620.0	0.0	11.95
4650.0	0.0	11.95
4680.0	0.0	11.95
4710.0	0.0	11.96
4740.0	0.0	11.96
4770.0	0.0	11.96
4800.0	0.0	11.96
4830.0	0.0	11.96
4860.0	0.0	11.96
4890.0	0.0	11.97
4920.0	0.0	11.97
4950.0	0.0	11.97
4980.0	0.0	11.97
5010.0	0.0	11.97
5040.0	0.0	11.97
5070.0	0.0	11.97
5100.0	0.0	11.97
5250.0	0.0	11.97
5280.0	0.0	11.97
5310.0	0.0	11.97
5340.0	0.0	11.97
5370.0	0.0	11.97
5400.0	0.0	11.97
5430.0	0.0	11.97
5460.0	0.0	11.97
5490.0	0.0	11.98
5520.0	0.0	11.98
5550.0	0.0	11.98
5580.0	0.0	11.98
5610.0	0.0	11.98
5640.0	0.0	11.98
5670.0	0.0	11.98
5700.0	0.0	11.98
5730.0	0.0	11.98
5760.0	0.0	11.98
5790.0	0.0	11.98
5820.0	0.0	11.98
5850.0	0.0	11.99
5880.0	0.0	11.99
5910.0	0.0	11.99
5940.0	0.0	11.99
5970.0	0.0	11.99
6000.0	0.0	11.99
6030.0	0.0	11.99
6060.0	0.0	11.99
6090.0	0.0	11.99
6120.0	0.0	11.99
6150.0	0.0	11.99
6180.0	0.0	11.99
6210.0	0.0	11.99
6240.0	0.0	12.0
6270.0	0.0	11.99
6300.0	0.0	12.0
6330.0	0.0	12.0
6360.0	0.0	12.0
6390.0	0.0	12.0
6420.0	0.0	12.01
6450.0	0.0	12.01
6480.0	0.0	12.01
6510.0	0.0	12.01
6540.0	0.0	12.01
6570.0	0.0	12.01
6600.0	0.0	12.01
6630.0	0.0	12.02
6660.0	0.0	12.02
6690.0	0.0	12.02
6720.0	0.0	12.02
6750.0	0.0	12.02
6780.0	0.0	12.02
6810.0	0.0	12.02
6840.0	0.0	12.02
6870.0	0.0	12.02
6900.0	0.0	12.02
6930.0	0.0	12.02
6960.0	0.0	12.02
6990.0	0.0	12.02
7020.0	0.0	12.03
7050.0	0.0	12.03
7080.0	0.0	12.03
7110.0	0.0	12.03
7140.0	0.0	12.03
7170.0	0.0	12.03
7200.0	0.0	12.03
7230.0	0.0	12.03
7260.0	0.0	12.03
7290.0	0.0	12.03
7320.0	0.0	12.03
7350.0	0.0	12.03
7380.0	0.0	12.03
7410.0	1.0	12.03
7440.0	0.0	12.04
7470.0	0.0	12.04
7500.0	0.0	12.04
7530.0	0.0	12.04
7560.0	0.0	12.04
7590.0	1.0	12.04
7620.0	1.0	12.04
7650.0	1.0	12.05
7680.0	1.0	12.05
7710.0	1.0	12.05
7740.0	1.0	12.05
7770.0	1.0	12.05
7800.0	1.0	12.05
7830.0	1.0	12.05
7860.0	1.0	12.05
7890.0	1.0	12.05
7920.0	1.0	12.05
7950.0	1.0	12.05
7980.0	1.0	12.05
8010.0	1.0	12.05
8040.0	1.0	12.06
8070.0	1.0	12.06
8100.0	1.0	12.06
8130.0	1.0	12.06
8160.0	1.0	12.06
8190.0	1.0	12.06
8220.0	1.0	12.06
8250.0	1.0	12.06
8280.0	1.0	12.06
8310.0	1.0	12.06
8340.0	1.0	12.06
8370.0	1.0	12.06
8400.0	1.0	12.06
8430.0	1.0	12.06
8460.0	1.0	12.06
8490.0	1.0	12.06
8520.0	1.0	12.06
8550.0	1.0	12.06
8580.0	1.0	12.06
8610.0	1.0	12.06
8640.0	1.0	12.06
8670.0	1.0	12.06
8700.0	1.0	12.06
8730.0	1.0	12.06
8760.0	1.0	12.06
8790.0	1.0	12.06
8820.0	1.0	12.07
8850.0	1.0	12.06
8880.0	1.0	12.07
